timestamp,pair_id,unrealized_pnl,realized_pnl,drawdown,z_score
2026-07-14T01:25:25.208076+00:00,MSCI-SHW,0.0,0.0,0.0,-1.0564105177979264
2026-07-14T01:25:25.208076+00:00,HD-MSCI,0.0,0.0,0.0,1.0881149885595325
2026-07-14T01:25:25.208076+00:00,AMD-WST,0.0,0.0,0.0,0.9779388451115562
2026-07-14T01:25:25.208076+00:00,HSY-SO,0.0,0.0,0.0,1.3799751108636005
2026-07-14T01:25:25.208076+00:00,MSCI-NDSN,0.0,0.0,0.0,-1.3545978927777569
2026-07-14T01:25:25.208076+00:00,ADI-TXN,0.0,0.0,0.0,1.4598605883908269
2026-07-14T01:46:56.515141+00:00,MSCI-SHW,0.0,0.0,0.0,-1.0564105177979264
2026-07-14T01:46:56.515141+00:00,HD-MSCI,0.0,0.0,0.0,1.0881149885595325
2026-07-14T01:46:56.515141+00:00,AMD-WST,0.0,0.0,0.0,0.9779388451115562
2026-07-14T01:46:56.515141+00:00,HSY-SO,0.0,0.0,0.0,1.3799751108636005
2026-07-14T01:46:56.515141+00:00,MSCI-NDSN,0.0,0.0,0.0,-1.3545978927777569
2026-07-14T01:46:56.515141+00:00,ADI-TXN,0.0,0.0,0.0,1.4598605883908269
2026-07-14T01:51:31.643632+00:00,MSCI-SHW,0.0,0.0,0.0,-1.0564105177979264
2026-07-14T01:51:31.643632+00:00,HD-MSCI,0.0,0.0,0.0,1.0881149885595325
2026-07-14T01:51:31.643632+00:00,AMD-WST,0.0,0.0,0.0,0.9779388451115562
2026-07-14T01:51:31.643632+00:00,HSY-SO,0.0,0.0,0.0,1.3799751108636005
2026-07-14T01:51:31.643632+00:00,MSCI-NDSN,0.0,0.0,0.0,-1.3545978927777569
2026-07-14T01:51:31.643632+00:00,ADI-TXN,0.0,0.0,0.0,1.4598605883908269
