Total Return,CAGR,Sharpe,Sortino,Max Drawdown,Win Rate,Average Trade Return,Trade Count,Pair,Stock1,Stock2,Alpha,Beta,Entry Threshold,Exit Threshold,Window Length
1.2278876845321416,94807.88231989635,9.999270829987944,11.816316854258316,-0.10449432774544755,0.9166666666666666,0.07151213059342923,12,GWW-TRMB,GWW,TRMB,1807.9614396283616,-9.74374586029407,2.5,0.5,26
0.7314031603486981,2572.04686648747,9.546081471533942,10.37532744836546,-0.07160216714935014,0.9166666666666666,0.04838893505085087,12,GWW-JKHY,GWW,JKHY,2162.694589931624,-6.590608856692666,2.5,0.5,26
0.08171759206415663,2.076254951395712,8.914929664792398,10.87759830274502,-0.009332228625353921,0.8333333333333334,0.007093185173303225,12,CVS-GWW,CVS,GWW,-34.46441209012355,0.10125548741075473,2.5,0.5,26
0.08016744643714269,2.0137875442289874,8.870571538409799,10.927148404122295,-0.009821574750146512,0.8333333333333334,0.00697242039593855,12,FIS-GWW,FIS,GWW,93.18875846703591,-0.040483922714802806,2.5,0.5,26
0.9133478138527624,10745.14815621559,8.544896324357083,8.03793925742032,-0.18657959111776776,0.8666666666666667,0.04686179204622933,15,AMD-FTNT,AMD,FTNT,106.55355268560636,2.796362465467962,2.5,0.5,26
1.200867836251632,79621.99995641672,5.374887096554012,4.381782119912462,-0.8736850345488566,0.7692307692307693,0.20384508076537464,13,AZO-PEP,AZO,PEP,-2419.206614917845,38.374605425396005,2.5,0.5,26
0.09273246876587282,2.556040172607673,5.3707363334878275,6.125678116363009,-0.04221810642357743,0.9230769230769231,0.007439547753323072,13,EQT-NFLX,EQT,NFLX,10.391069631875471,0.5278803353322259,2.5,0.5,26
0.051520766754640235,1.051725095181586,5.132891837694489,5.863212634486796,-0.037857907941975806,0.8181818181818182,0.005131159771925897,11,PFG-STT,PFG,STT,23.41024067491223,0.5108385231557923,2.5,0.5,26
0.16392164749694071,7.771700640428932,5.069146695403474,3.841786833809899,-0.10560006997692938,0.875,0.020353309023886074,8,TDG-UAL,TDG,UAL,759.3908446415984,4.476191541675414,2.5,0.5,26
0.05300978577216009,1.093682234812158,5.035696674847298,3.8135593077014684,-0.026512531697567066,0.7692307692307693,0.004533213442462749,13,HRL-TSN,HRL,TSN,44.643033179861526,-0.359621316070975,2.5,0.5,26
0.6771019075374654,1630.0788947895408,4.998164749709472,5.300848584002265,-0.4188593210809953,0.7142857142857143,0.04542902379331041,14,APH-NCLH,APH,NCLH,-0.8732441002786976,8.001338773076732,2.5,0.5,26
0.13873433968594218,5.414471373107434,4.876321351402197,6.524043207616186,-0.043974953965428394,0.75,0.008960408569914816,16,APD-DXCM,APD,DXCM,379.3696991516942,-1.3120520919342624,2.5,0.5,26
0.038451060135203496,0.7155892165510527,4.781268491979131,4.065968316483468,-0.028534492372323986,0.75,0.005273395165146647,8,CMS-NI,CMS,NI,-10.487581720051534,1.7815510835833526,2.5,0.5,26
0.1566200934938644,7.016525982786032,4.718740060423334,7.090386468484055,-0.051853337936553286,0.75,0.013228052768270935,12,DXCM-NEE,DXCM,NEE,192.37774364768802,-1.3847058779877273,2.5,0.5,26
0.3741247654980968,94.25295029456183,4.692177734481404,3.6876699365385464,-0.23162131563529878,0.6428571428571429,0.026268381852024292,14,LLY-MKTX,LLY,MKTX,1795.7716778352863,-5.548350899289979,2.5,0.5,26
0.11541586938451287,3.7710701747555557,4.632070158283627,5.81870727002062,-0.03422902592663559,0.6666666666666666,0.00806465579158814,15,PKG-SW,PKG,SW,107.88598444949638,2.7694365801659213,2.5,0.5,26
0.036956881367711025,0.6806119693851225,4.058524213330356,4.386284182450004,-0.01791266672994827,0.7,0.004138013038071769,10,RVTY-WAT,RVTY,WAT,15.765082829861807,0.23396281542573666,2.5,0.5,26
0.20133025091777879,12.79192039074906,3.6498150122096087,8.612071083683798,-0.059974357650844023,0.6428571428571429,0.015048417281036215,14,APD-NEE,APD,NEE,116.58937834151962,1.9318007799267491,2.5,0.5,26
0.2455912232469213,22.142573244757408,3.5355018510422505,3.5809337352271284,-0.1934121305585363,0.625,0.016589612469209397,16,DLTR-HRL,DLTR,HRL,-18.06050459136029,5.407188818797957,2.5,0.5,26
0.05629670297381173,1.189141054560626,3.445414954128479,3.4575690715198593,-0.03801474975070034,0.5714285714285714,0.004550790651770302,14,HST-INTU,HST,INTU,32.07272110851296,-0.026988152912058857,2.5,0.5,26
0.03602140336746462,0.6590522040011646,3.44091833203535,2.593259748018052,-0.023377927866856166,0.8181818181818182,0.0037890925443933216,11,EXPD-MNST,EXPD,MNST,66.29266626226503,1.0555064569715957,2.5,0.5,26
0.034115398948431075,0.6159186036776674,3.3299192987858266,3.108659383546411,-0.021644284461450072,0.6153846153846154,0.0031389539582329087,13,GEN-LOW,GEN,LOW,75.1310867408086,-0.233611103825143,2.5,0.5,26
0.04620171051102462,0.9081474978821735,3.3083436743238592,2.5166083160744956,-0.04445972862306148,0.7142857142857143,0.0038278846965656642,14,FRT-LLY,FRT,LLY,67.54281057114545,0.04857986301175643,2.5,0.5,26
0.045977701820805184,0.9023110145073376,3.2942411425415745,2.478133475032945,-0.04330565918696627,0.6428571428571429,0.0038125240367723654,14,ESS-LLY,ESS,LLY,181.21953492210383,0.088271074222538,2.5,0.5,26
0.01394694733920776,0.21913546653916027,3.2171399599372776,3.4520249144467203,-0.006645386719883053,0.7,0.001898558169435942,10,FOX-FOXA,FOX,FOXA,3.1634702608879937,0.8481904674942156,2.5,0.5,26
0.028912277284869337,0.5034211870970682,3.0792633476208615,3.4930892686930304,-0.033534876742183424,0.7272727272727273,0.0031492661001193785,11,NTRS-STT,NTRS,STT,79.32485903321938,0.558900364037074,2.5,0.5,26
0.02930547451623644,0.511661157351744,3.0659495403832056,3.211084602644305,-0.03411260224712232,0.75,0.00296221529146649,12,NEE-REGN,NEE,REGN,34.941339210065266,0.08358135686779096,2.5,0.5,26
0.04558607029282258,0.8921470376058869,2.957842465924086,2.776326016208845,-0.05646909933846481,0.7272727272727273,0.004711816737245657,11,GWW-HUM,GWW,HUM,892.598560575868,1.1726442948970266,2.5,0.5,26
